,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Start day,Jersey,Bergen,Essex,Middlesex,Monmouth,Hudson,Union,Morris,Passaic,Somerset,Mercer,Burlington,Camden,Ocean,Hunterdon,Atlantic,Gloucester,Warren,Sussex,Cape May,Cumberland,Salem,Combined County Model for Jersey
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,6,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,11,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,15,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,23,11,1,2,4,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,
9,29,13,1,2,5,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,
10,50,17,6,4,7,3,1,3,1,1,0,2,1,1,0,0,0,0,0,0,0,0,
11,69,25,7,10,8,5,1,3,2,1,1,3,2,1,0,0,0,0,0,0,0,0,
12,98,29,11,12,12,11,4,4,3,1,1,3,2,2,0,0,0,0,0,0,0,0,
13,178,65,21,17,16,19,9,6,5,5,6,4,3,3,1,0,0,0,0,0,0,0,
14,267,91,34,24,24,26,16,9,9,8,9,6,4,4,4,0,2,0,0,0,0,0,
15,427,128,48,43,34,36,26,19,18,16,15,10,8,8,6,3,2,0,0,0,0,0,
16,742,226,73,74,50,64,34,30,44,24,23,16,15,38,9,3,3,3,2,1,0,0,
17,890,276,81,84,59,73,48,39,54,31,24,19,12,54,12,3,3,3,3,1,1,0,
18,1327,402,118,128,101,107,90,71,75,38,35,23,17,69,16,4,7,6,7,2,1,0,
19,1914,507,191,163,175,139,137,133,106,57,45,29,24,113,18,5,9,10,12,2,1,1,
20,2844,699,313,242,274,218,217,202,162,77,58,42,38,165,21,6,15,14,17,2,1,1,
21,4125.600199,961.6501761,458.6113826,342.7282044,435.7758939,341.2089557,341.3462485,334.042322,234.7676579,111.6987396,84.13671292,60.92658521,55.12405329,240.554211,30.46329261,8.703797888,21.75949472,20.30886174,24.66076068,2.901265963,1.450632981,1.450632981,4114.269883
22,5984.731716,1322.991504,671.9629402,485.382736,693.0679916,534.0529882,495.1681261,484.5728094,340.221316,162.0338756,122.0514907,88.38211395,79.96476976,350.7050209,44.19105697,12.62601628,31.5650407,29.46070465,35.77371279,4.208672093,2.104336046,2.104336046,5992.591558
23,8681.649211,1820.107314,984.5682208,687.4146842,1102.271254,835.8883594,718.307215,702.9372991,493.0429723,235.051684,177.0519178,128.2100095,115.9995324,511.2943613,64.10500473,18.31571564,45.78928909,42.73666982,51.89452764,6.105238545,3.052619273,3.052619273,8747.196508
24,12593.88668,2504.015049,1442.601256,973.5388447,1753.077522,1308.314652,1042.000137,1019.70403,714.50953,340.9737251,256.8373514,185.9856682,168.2727475,745.4182527,92.99283412,26.56938118,66.42345294,61.99522275,75.27991334,8.856460392,4.428230196,4.428230196,12796.22249
25,18269.10738,3444.902021,2113.716794,1378.757108,2788.13476,2047.746221,1511.559765,1479.216297,1035.455117,494.6277314,372.5767327,269.7969444,244.1019973,1086.748483,134.8984722,38.54242063,96.35605157,89.9323148,109.2035251,12.84747354,6.423736771,6.423736771,18761.9677
26,26501.7697,4739.32852,3097.043391,1952.640281,4434.313567,3205.088759,2192.718448,2145.799947,1500.564028,717.5233006,540.4720966,391.3763458,354.1024081,1584.375296,195.6881729,55.91090654,139.7772664,130.4587819,158.4142352,18.63696885,9.318484424,9.318484424,27572.86969
27,38444.34119,6520.137491,4537.825405,2765.392139,7052.434155,5016.536643,3180.8297,3112.768174,2174.59199,1040.862965,784.0266488,567.7434353,513.672632,2309.867572,283.8717177,81.10620504,202.7655126,189.2478118,229.8009143,27.03540168,13.51770084,13.51770084,40617.55191
28,55768.62928,8970.087791,6648.876623,3916.43753,11216.35328,7851.776279,4614.21647,4515.484176,3151.381904,1509.910146,1137.334915,823.5873522,745.1504615,3367.565888,411.7936761,117.655336,294.1383401,274.5291174,333.3567854,39.21844534,19.60922267,19.60922267,59978.07296
29,80899.81295,12340.61016,9742.014381,5546.585134,17838.7459,12289.43296,6693.534594,6550.310273,4566.929313,2190.325456,1649.855538,1194.722976,1080.939835,4909.58882,597.361488,170.6747109,426.6867772,398.240992,483.5783474,56.89157029,28.44578514,28.44578514,88783.92079