Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
04/06/2020,Albany,14,333,86,4330
04/06/2020,Allegany,0,17,3,199
04/06/2020,Bronx,1021,15348,1996,29367
04/06/2020,Broome,10,86,47,654
04/06/2020,Cattaraugus,1,13,14,265
04/06/2020,Cayuga,3,14,33,418
04/06/2020,Chautauqua,1,16,37,274
04/06/2020,Chemung,2,49,22,568
04/06/2020,Chenango,5,51,42,254
04/06/2020,Clinton,1,37,16,296
04/06/2020,Columbia,2,61,15,491
04/06/2020,Cortland,3,16,25,583
04/06/2020,Delaware,7,36,30,231
04/06/2020,Dutchess,60,1249,335,4779
04/06/2020,Erie,112,1135,396,4871
04/06/2020,Essex,0,7,5,111
04/06/2020,Franklin,0,10,5,162
04/06/2020,Fulton,2,13,18,223
04/06/2020,Genesee,10,33,37,334
04/06/2020,Greene,0,24,13,299
04/06/2020,Hamilton,0,2,0,17
04/06/2020,Herkimer,2,27,19,226
04/06/2020,Jefferson,6,39,63,748
04/06/2020,Kings,1177,20879,2245,39854
04/06/2020,Lewis,0,6,11,123
04/06/2020,Livingston,1,23,18,253
04/06/2020,Madison,6,88,64,571
04/06/2020,Monroe,22,596,305,5451
04/06/2020,Montgomery,3,18,20,218
04/06/2020,Nassau,994,16610,2097,36320
04/06/2020,New York,572,11012,1249,26402
04/06/2020,Niagara,6,126,44,617
04/06/2020,Oneida,18,118,90,954
04/06/2020,Onondaga,64,335,689,4941
04/06/2020,Ontario,1,33,32,502
04/06/2020,Orange,202,3599,604,10420
04/06/2020,Orleans,2,15,17,193
04/06/2020,Oswego,2,31,70,671
04/06/2020,Otsego,0,34,43,368
04/06/2020,Putnam,21,366,72,1381
04/06/2020,Queens,1707,24840,2864,43256
04/06/2020,Rensselaer,5,67,30,1360
04/06/2020,Richmond,218,4797,605,10679
04/06/2020,Rockland,287,5990,662,13506
04/06/2020,Saratoga,2,155,40,2083
04/06/2020,Schenectady,7,145,35,1437
04/06/2020,Schoharie,1,12,19,179
04/06/2020,Schuyler,0,4,4,108
04/06/2020,Seneca,1,10,8,149
04/06/2020,St. Lawrence,1,60,64,736
04/06/2020,Steuben,0,75,22,465
04/06/2020,Suffolk,1030,14517,2323,33225
04/06/2020,Sullivan,17,270,77,1451
04/06/2020,Tioga,0,8,10,209
04/06/2020,Tompkins,3,97,23,1702
04/06/2020,Ulster,26,398,117,2256
04/06/2020,Warren,5,31,15,536
04/06/2020,Washington,0,19,13,332
04/06/2020,Wayne,1,35,31,478
04/06/2020,Westchester,510,14804,1348,46701
04/06/2020,Wyoming,0,23,7,188
04/06/2020,Yates,0,1,3,83
04/05/2020,Albany,14,319,89,4244
04/05/2020,Allegany,1,17,8,196
04/05/2020,Bronx,959,14327,1628,27371
04/05/2020,Broome,5,76,33,607
04/05/2020,Cattaraugus,2,12,16,251
04/05/2020,Cayuga,3,11,31,385
04/05/2020,Chautauqua,4,15,50,237
04/05/2020,Chemung,9,47,50,546
04/05/2020,Chenango,3,46,27,212
04/05/2020,Clinton,3,36,14,280
04/05/2020,Columbia,8,59,23,476
04/05/2020,Cortland,3,13,42,558
04/05/2020,Delaware,2,29,28,201
04/05/2020,Dutchess,112,1189,338,4444
04/05/2020,Erie,105,1023,549,4475
04/05/2020,Essex,0,7,4,106
04/05/2020,Franklin,0,10,5,157
04/05/2020,Fulton,2,11,20,205
04/05/2020,Genesee,1,23,11,297
04/05/2020,Greene,0,24,12,286
04/05/2020,Hamilton,0,2,0,17
04/05/2020,Herkimer,3,25,23,207
04/05/2020,Jefferson,7,33,98,685
04/05/2020,Kings,1144,19702,2013,37609
04/05/2020,Lewis,3,6,11,112
04/05/2020,Livingston,3,22,14,235
04/05/2020,Madison,3,82,13,507
04/05/2020,Monroe,26,574,225,5146
04/05/2020,Montgomery,0,15,8,198
04/05/2020,Nassau,1218,15616,2363,34223
04/05/2020,New York,542,10440,1162,25153
04/05/2020,Niagara,4,120,44,573
04/05/2020,Oneida,13,100,87,864
04/05/2020,Onondaga,3,271,89,4252
04/05/2020,Ontario,0,32,26,470
04/05/2020,Orange,295,3397,827,9816
04/05/2020,Orleans,2,13,16,176
04/05/2020,Oswego,1,29,39,601
04/05/2020,Otsego,5,34,41,325
04/05/2020,Putnam,31,345,122,1309
04/05/2020,Queens,1697,23133,2730,40392
04/05/2020,Rensselaer,2,62,29,1330
04/05/2020,Richmond,288,4579,600,10074
04/05/2020,Rockland,377,5703,732,12844
04/05/2020,Saratoga,5,153,34,2043
04/05/2020,Schenectady,10,138,64,1402
04/05/2020,Schoharie,0,11,17,160
04/05/2020,Schuyler,0,4,9,104
04/05/2020,Seneca,0,9,11,141
04/05/2020,St. Lawrence,4,59,43,672
04/05/2020,Steuben,12,75,40,443
04/05/2020,Suffolk,1082,13487,2211,30902
04/05/2020,Sullivan,19,253,91,1374
04/05/2020,Tioga,1,8,10,199
04/05/2020,Tompkins,6,94,94,1679
04/05/2020,Ulster,40,372,182,2139
04/05/2020,Warren,1,26,12,521
04/05/2020,Washington,1,19,2,319
04/05/2020,Wayne,2,34,15,447
04/05/2020,Westchester,571,14294,1398,45353
04/05/2020,Wyoming,1,23,6,181
04/05/2020,Yates,0,1,2,80
04/04/2020,Albany,12,305,117,4155
04/04/2020,Allegany,0,16,8,188
04/04/2020,Bronx,1053,13368,1778,25743
04/04/2020,Broome,6,71,36,574
04/04/2020,Cattaraugus,1,10,12,235
04/04/2020,Cayuga,1,8,32,354
04/04/2020,Chautauqua,1,11,28,187
04/04/2020,Chemung,2,38,35,496
04/04/2020,Chenango,4,43,17,185
04/04/2020,Clinton,2,33,23,266
04/04/2020,Columbia,2,51,15,453
04/04/2020,Cortland,0,10,38,516
04/04/2020,Delaware,1,27,12,173
04/04/2020,Dutchess,139,1077,352,4106
04/04/2020,Erie,110,918,402,3926
04/04/2020,Essex,0,7,4,102
04/04/2020,Franklin,0,10,6,152
04/04/2020,Fulton,0,9,12,185
04/04/2020,Genesee,2,22,12,286
04/04/2020,Greene,0,24,7,274
04/04/2020,Hamilton,0,2,0,17
04/04/2020,Herkimer,4,22,46,184
04/04/2020,Jefferson,6,26,75,587
04/04/2020,Kings,1054,18558,1990,35596
04/04/2020,Lewis,1,3,19,101
04/04/2020,Livingston,1,19,27,221
04/04/2020,Madison,5,79,28,494
04/04/2020,Monroe,36,548,277,4921
04/04/2020,Montgomery,2,15,14,190
04/04/2020,Nassau,1052,14398,2195,31860
04/04/2020,New York,598,9898,1278,23991
04/04/2020,Niagara,15,116,54,529
04/04/2020,Oneida,7,87,55,777
04/04/2020,Onondaga,6,268,131,4163
04/04/2020,Ontario,1,32,33,444
04/04/2020,Orange,361,3102,1077,8989
04/04/2020,Orleans,1,11,9,160
04/04/2020,Oswego,2,28,26,562
04/04/2020,Otsego,3,29,25,284
04/04/2020,Putnam,31,314,78,1187
04/04/2020,Queens,1322,21436,2255,37662
04/04/2020,Rensselaer,2,60,48,1301
04/04/2020,Richmond,218,4291,513,9474
04/04/2020,Rockland,454,5326,880,12112
04/04/2020,Saratoga,7,148,110,2009
04/04/2020,Schenectady,11,128,64,1338
04/04/2020,Schoharie,1,11,16,143
04/04/2020,Schuyler,0,4,2,95
04/04/2020,Seneca,3,9,15,130
04/04/2020,St. Lawrence,3,55,46,629
04/04/2020,Steuben,8,63,31,403
04/04/2020,Suffolk,1035,12405,2200,28691
04/04/2020,Sullivan,41,234,153,1283
04/04/2020,Tioga,0,7,8,189
04/04/2020,Tompkins,3,88,52,1585
04/04/2020,Ulster,42,332,188,1957
04/04/2020,Warren,5,25,13,509
04/04/2020,Washington,2,18,15,317
04/04/2020,Wayne,2,32,24,432
04/04/2020,Westchester,642,13723,1621,43955
04/04/2020,Wyoming,4,22,16,175
04/04/2020,Yates,0,1,6,78
04/03/2020,Albany,26,293,123,4038
04/03/2020,Allegany,2,16,13,180
04/03/2020,Bronx,1229,12315,2108,23965
04/03/2020,Broome,9,65,55,538
04/03/2020,Cattaraugus,0,9,8,223
04/03/2020,Cayuga,1,7,15,322
04/03/2020,Chautauqua,1,10,20,159
04/03/2020,Chemung,1,36,28,461
04/03/2020,Chenango,7,39,40,168
04/03/2020,Clinton,1,31,11,243
04/03/2020,Columbia,7,49,20,438
04/03/2020,Cortland,0,10,32,478
04/03/2020,Delaware,2,26,18,161
04/03/2020,Dutchess,129,938,447,3754
04/03/2020,Erie,88,808,317,3524
04/03/2020,Essex,1,7,7,98
04/03/2020,Franklin,0,10,4,146
04/03/2020,Fulton,3,9,24,173
04/03/2020,Genesee,4,20,30,274
04/03/2020,Greene,1,24,10,267
04/03/2020,Hamilton,0,2,0,17
04/03/2020,Herkimer,4,18,27,138
04/03/2020,Jefferson,2,20,38,512
04/03/2020,Kings,1804,17504,3234,33606
04/03/2020,Lewis,0,2,5,82
04/03/2020,Livingston,2,18,18,194
04/03/2020,Madison,4,74,20,466
04/03/2020,Monroe,48,512,328,4644
04/03/2020,Montgomery,3,13,11,176
04/03/2020,Nassau,1322,13346,2694,29665
04/03/2020,New York,848,9300,1820,22713
04/03/2020,Niagara,7,101,47,475
04/03/2020,Oneida,9,80,58,722
04/03/2020,Onondaga,10,262,221,4032
04/03/2020,Ontario,3,31,36,411
04/03/2020,Orange,344,2741,1046,7912
04/03/2020,Orleans,1,10,11,151
04/03/2020,Oswego,0,26,31,536
04/03/2020,Otsego,5,26,53,259
04/03/2020,Putnam,31,283,96,1109
04/03/2020,Queens,1947,20114,3407,35407
04/03/2020,Rensselaer,2,58,18,1253
04/03/2020,Richmond,319,4073,679,8961
04/03/2020,Rockland,583,4872,1124,11232
04/03/2020,Saratoga,0,141,57,1899
04/03/2020,Schenectady,7,117,38,1274
04/03/2020,Schoharie,1,10,21,127
04/03/2020,Schuyler,1,4,5,93
04/03/2020,Seneca,0,6,7,115
04/03/2020,St. Lawrence,9,52,81,583
04/03/2020,Steuben,9,55,27,372
04/03/2020,Suffolk,1216,11370,2463,26491
04/03/2020,Sullivan,25,193,133,1130
04/03/2020,Tioga,0,7,9,181
04/03/2020,Tompkins,1,85,81,1533
04/03/2020,Ulster,27,290,141,1769
04/03/2020,Warren,1,20,7,496
04/03/2020,Washington,1,16,9,302
04/03/2020,Wayne,0,30,35,408
04/03/2020,Westchester,730,13081,1621,42334
04/03/2020,Wyoming,3,18,11,159
04/03/2020,Yates,0,1,3,72
04/02/2020,Albany,14,267,105,3915
04/02/2020,Allegany,2,14,18,167
04/02/2020,Bronx,1159,11086,1946,21857
04/02/2020,Broome,10,56,72,483
04/02/2020,Cattaraugus,1,9,24,215
04/02/2020,Cayuga,2,6,36,307
04/02/2020,Chautauqua,1,9,15,139
04/02/2020,Chemung,13,35,84,433
04/02/2020,Chenango,4,32,17,128
04/02/2020,Clinton,5,30,16,232
04/02/2020,Columbia,6,42,22,418
04/02/2020,Cortland,2,10,54,446
04/02/2020,Delaware,2,24,9,143
04/02/2020,Dutchess,142,809,415,3307
04/02/2020,Erie,103,720,429,3207
04/02/2020,Essex,0,6,2,91
04/02/2020,Franklin,1,10,19,142
04/02/2020,Fulton,0,6,10,149
04/02/2020,Genesee,2,16,23,244
04/02/2020,Greene,2,23,16,257
04/02/2020,Hamilton,0,2,0,17
04/02/2020,Herkimer,0,14,19,111
04/02/2020,Jefferson,3,18,56,474
04/02/2020,Kings,1396,15700,2512,30372
04/02/2020,Lewis,0,2,5,77
04/02/2020,Livingston,2,16,12,176
04/02/2020,Madison,10,70,70,446
04/02/2020,Monroe,44,464,336,4316
04/02/2020,Montgomery,2,10,8,165
04/02/2020,Nassau,1437,12024,2663,26971
04/02/2020,New York,609,8452,1294,20893
04/02/2020,Niagara,18,94,61,428
04/02/2020,Oneida,10,71,77,664
04/02/2020,Onondaga,18,252,195,3811
04/02/2020,Ontario,2,28,29,375
04/02/2020,Orange,404,2397,1114,6866
04/02/2020,Orleans,3,9,13,140
04/02/2020,Oswego,4,26,82,505
04/02/2020,Otsego,0,21,12,206
04/02/2020,Putnam,36,252,90,1013
04/02/2020,Queens,1899,18167,3048,32000
04/02/2020,Rensselaer,3,56,31,1235
04/02/2020,Richmond,287,3754,563,8282
04/02/2020,Rockland,538,4289,997,10108
04/02/2020,Saratoga,9,141,53,1842
04/02/2020,Schenectady,9,110,42,1236
04/02/2020,Schoharie,1,9,5,106
04/02/2020,Schuyler,0,3,13,88
04/02/2020,Seneca,2,6,13,108
04/02/2020,St. Lawrence,4,43,54,502
04/02/2020,Steuben,3,46,36,345
04/02/2020,Suffolk,1408,10154,2575,24028
04/02/2020,Sullivan,25,168,140,997
04/02/2020,Tioga,0,7,18,172
04/02/2020,Tompkins,10,84,160,1452
04/02/2020,Ulster,23,263,125,1628
04/02/2020,Warren,1,19,11,489
04/02/2020,Washington,3,15,13,293
04/02/2020,Wayne,3,30,28,373
04/02/2020,Westchester,784,12351,1632,40713
04/02/2020,Wyoming,1,15,11,148
04/02/2020,Yates,0,1,7,69
04/01/2020,Albany,13,253,106,3810
04/01/2020,Allegany,3,12,14,149
04/01/2020,Bronx,1066,9927,1754,19911
04/01/2020,Broome,4,46,43,411
04/01/2020,Cattaraugus,1,8,28,191
04/01/2020,Cayuga,1,4,25,271
04/01/2020,Chautauqua,2,8,8,124
04/01/2020,Chemung,0,22,14,349
04/01/2020,Chenango,2,28,16,111
04/01/2020,Clinton,0,25,5,216
04/01/2020,Columbia,5,36,21,396
04/01/2020,Cortland,0,8,42,392
04/01/2020,Delaware,2,22,7,134
04/01/2020,Dutchess,120,667,330,2892
04/01/2020,Erie,153,617,571,2778
04/01/2020,Essex,0,6,2,89
04/01/2020,Franklin,0,9,8,123
04/01/2020,Fulton,4,6,10,139
04/01/2020,Genesee,1,14,39,221
04/01/2020,Greene,3,21,11,241
04/01/2020,Hamilton,0,2,3,17
04/01/2020,Herkimer,2,14,9,92
04/01/2020,Jefferson,3,15,53,418
04/01/2020,Kings,1189,14304,2041,27860
04/01/2020,Lewis,0,2,5,72
04/01/2020,Livingston,0,14,17,164
04/01/2020,Madison,9,60,67,376
04/01/2020,Monroe,71,420,381,3980
04/01/2020,Montgomery,1,8,10,157
04/01/2020,Nassau,1033,10587,1908,24308
04/01/2020,New York,470,7843,1002,19599
04/01/2020,Niagara,30,76,89,367
04/01/2020,Oneida,11,61,82,587
04/01/2020,Onondaga,17,234,191,3616
04/01/2020,Ontario,2,26,29,346
04/01/2020,Orange,237,1993,628,5752
04/01/2020,Orleans,0,6,11,127
04/01/2020,Oswego,5,22,80,423
04/01/2020,Otsego,2,21,17,194
04/01/2020,Putnam,9,216,46,923
04/01/2020,Queens,1366,16268,2157,28952
04/01/2020,Rensselaer,10,53,42,1204
04/01/2020,Richmond,279,3467,559,7719
04/01/2020,Rockland,430,3751,904,9111
04/01/2020,Saratoga,10,132,69,1789
04/01/2020,Schenectady,8,101,31,1194
04/01/2020,Schoharie,0,8,10,101
04/01/2020,Schuyler,1,3,8,75
04/01/2020,Seneca,2,4,14,95
04/01/2020,St. Lawrence,5,39,30,448
04/01/2020,Steuben,5,43,25,309
04/01/2020,Suffolk,1141,8746,2148,21453
04/01/2020,Sullivan,22,143,96,857
04/01/2020,Tioga,0,7,14,154
04/01/2020,Tompkins,6,74,126,1292
04/01/2020,Ulster,19,240,118,1503
04/01/2020,Warren,0,18,9,478
04/01/2020,Washington,2,12,9,280
04/01/2020,Wayne,3,27,28,345
04/01/2020,Westchester,884,11567,1891,39081
04/01/2020,Wyoming,4,14,12,137
04/01/2020,Yates,1,1,8,62
03/31/2020,Albany,14,240,108,3704
03/31/2020,Allegany,2,9,10,135
03/31/2020,Bronx,1095,8861,1818,18157
03/31/2020,Broome,4,42,35,368
03/31/2020,Cattaraugus,1,7,12,163
03/31/2020,Cayuga,0,3,9,246
03/31/2020,Chautauqua,0,6,9,116
03/31/2020,Chemung,2,22,42,335
03/31/2020,Chenango,7,26,20,95
03/31/2020,Clinton,4,25,21,211
03/31/2020,Columbia,1,31,12,375
03/31/2020,Cortland,0,8,12,350
03/31/2020,Delaware,4,20,13,127
03/31/2020,Dutchess,63,547,196,2562
03/31/2020,Erie,26,464,119,2207
03/31/2020,Essex,2,6,8,87
03/31/2020,Franklin,0,9,9,115
03/31/2020,Fulton,1,2,5,129
03/31/2020,Genesee,3,13,28,182
03/31/2020,Greene,2,18,9,230
03/31/2020,Hamilton,0,2,0,14
03/31/2020,Herkimer,0,12,4,83
03/31/2020,Jefferson,0,12,14,365
03/31/2020,Kings,1198,13115,2011,25819
03/31/2020,Lewis,0,2,3,67
03/31/2020,Livingston,1,14,24,147
03/31/2020,Madison,10,51,55,309
03/31/2020,Monroe,57,349,356,3599
03/31/2020,Montgomery,0,7,4,147
03/31/2020,Nassau,1010,9554,1845,22400
03/31/2020,New York,497,7373,1015,18597
03/31/2020,Niagara,4,46,13,278
03/31/2020,Oneida,10,50,58,505
03/31/2020,Onondaga,23,217,163,3425
03/31/2020,Ontario,2,24,37,317
03/31/2020,Orange,200,1756,477,5124
03/31/2020,Orleans,0,6,6,116
03/31/2020,Oswego,2,17,27,343
03/31/2020,Otsego,1,19,19,177
03/31/2020,Putnam,21,207,57,877
03/31/2020,Queens,1211,14902,1871,26795
03/31/2020,Rensselaer,2,43,19,1162
03/31/2020,Richmond,299,3188,616,7160
03/31/2020,Rockland,458,3321,930,8207
03/31/2020,Saratoga,14,122,78,1720
03/31/2020,Schenectady,8,93,22,1163
03/31/2020,Schoharie,2,8,7,91
03/31/2020,Schuyler,0,2,1,67
03/31/2020,Seneca,0,2,1,81
03/31/2020,St. Lawrence,4,34,32,418
03/31/2020,Steuben,14,38,56,284
03/31/2020,Suffolk,892,7605,1620,19305
03/31/2020,Sullivan,12,121,55,761
03/31/2020,Tioga,0,7,15,140
03/31/2020,Tompkins,2,68,15,1166
03/31/2020,Ulster,10,221,51,1385
03/31/2020,Warren,0,18,7,469
03/31/2020,Washington,0,10,5,271
03/31/2020,Wayne,5,24,33,317
03/31/2020,Westchester,716,10683,1567,37190
03/31/2020,Wyoming,1,10,10,125
03/31/2020,Yates,0,0,7,54
03/30/2020,Albany,9,226,72,3596
03/30/2020,Allegany,0,7,4,125
03/30/2020,Bronx,804,7766,1341,16339
03/30/2020,Broome,3,38,48,333
03/30/2020,Cattaraugus,0,6,5,151
03/30/2020,Cayuga,0,3,10,237
03/30/2020,Chautauqua,1,6,9,107
03/30/2020,Chemung,5,20,47,293
03/30/2020,Chenango,2,19,9,75
03/30/2020,Clinton,4,21,9,190
03/30/2020,Columbia,4,30,14,363
03/30/2020,Cortland,0,8,9,338
03/30/2020,Delaware,5,16,11,114
03/30/2020,Dutchess,92,484,300,2366
03/30/2020,Erie,62,438,189,2088
03/30/2020,Essex,0,4,5,79
03/30/2020,Franklin,3,9,10,106
03/30/2020,Fulton,0,1,5,124
03/30/2020,Genesee,1,10,24,154
03/30/2020,Greene,6,16,15,221
03/30/2020,Hamilton,0,2,0,14
03/30/2020,Herkimer,0,12,1,79
03/30/2020,Jefferson,1,12,19,351
03/30/2020,Kings,1888,11917,3113,23808
03/30/2020,Lewis,0,2,5,64
03/30/2020,Livingston,1,13,10,123
03/30/2020,Madison,7,41,39,254
03/30/2020,Monroe,50,292,383,3243
03/30/2020,Montgomery,1,7,8,143
03/30/2020,Nassau,1200,8544,2261,20555
03/30/2020,New York,648,6876,1422,17582
03/30/2020,Niagara,1,42,15,265
03/30/2020,Oneida,6,40,57,447
03/30/2020,Onondaga,14,194,139,3262
03/30/2020,Ontario,2,22,26,280
03/30/2020,Orange,121,1556,306,4647
03/30/2020,Orleans,2,6,14,110
03/30/2020,Oswego,1,15,30,316
03/30/2020,Otsego,1,18,8,158
03/30/2020,Putnam,19,186,71,820
03/30/2020,Queens,2022,13691,3325,24924
03/30/2020,Rensselaer,1,41,20,1143
03/30/2020,Richmond,324,2889,691,6544
03/30/2020,Rockland,352,2863,739,7277
03/30/2020,Saratoga,3,108,23,1642
03/30/2020,Schenectady,5,85,33,1141
03/30/2020,Schoharie,0,6,4,84
03/30/2020,Schuyler,0,2,6,66
03/30/2020,Seneca,2,2,7,80
03/30/2020,St. Lawrence,17,30,74,386
03/30/2020,Steuben,5,24,39,228
03/30/2020,Suffolk,922,6713,1857,17685
03/30/2020,Sullivan,8,109,33,706
03/30/2020,Tioga,3,7,21,125
03/30/2020,Tompkins,0,66,18,1151
03/30/2020,Ulster,21,211,123,1334
03/30/2020,Warren,0,18,6,462
03/30/2020,Washington,3,10,7,266
03/30/2020,Wayne,4,19,28,284
03/30/2020,Westchester,641,9967,1515,35623
03/30/2020,Wyoming,1,9,13,115
03/30/2020,Yates,0,0,3,47
03/29/2020,Albany,12,217,61,3524
03/29/2020,Allegany,1,7,7,121
03/29/2020,Bronx,658,6962,1160,14998
03/29/2020,Broome,6,35,36,285
03/29/2020,Cattaraugus,2,6,7,146
03/29/2020,Cayuga,1,3,37,227
03/29/2020,Chautauqua,0,5,3,98
03/29/2020,Chemung,0,15,7,246
03/29/2020,Chenango,2,17,7,66
03/29/2020,Clinton,4,17,19,181
03/29/2020,Columbia,3,26,26,349
03/29/2020,Cortland,2,8,48,329
03/29/2020,Delaware,3,11,12,103
03/29/2020,Dutchess,72,392,227,2066
