,MAE,window,distancing_reduction,recovery_days
0,3858.9482263396685,1,0.01,1
1,4221.235358185193,1,0.01,3
2,4285.669795874824,1,0.01,5
3,4328.600115145686,1,0.01,10
4,4339.820980926951,1,0.01,14
5,4347.8991592875245,1,0.01,20
6,4353.973694748822,1,0.01,30
7,3768.473057375662,1,0.12,1
8,4122.05198008371,1,0.12,3
9,4207.549107257301,1,0.12,5
10,4272.520271882733,1,0.12,10
11,4291.030714573524,1,0.12,14
12,4304.862752844198,1,0.12,20
13,4315.580928176911,1,0.12,30
14,3696.819751194074,1,0.23,1
15,4032.7031216826617,1,0.23,3
16,4135.340503773505,1,0.23,5
17,4219.4554018595,1,0.23,10
18,4244.5271619252,1,0.23,14
19,4263.6135268769285,1,0.23,20
20,4278.619427488649,1,0.23,30
21,3705.978077158266,1,0.34,1
22,3952.837967884802,1,0.34,3
23,4068.8070809381775,1,0.34,5
24,4169.30218859857,1,0.34,10
25,4200.238625730123,1,0.34,14
26,4224.100009443458,1,0.34,20
27,4243.051142082462,1,0.34,30
28,3746.778601986242,1,0.45,1
29,3881.9480770069486,1,0.45,3
30,4007.6840990161427,1,0.45,5
31,4121.954206715089,1,0.45,10
32,4158.09225377166,1,0.45,14
33,4186.270314534519,1,0.45,20
34,4208.8379028912705,1,0.45,30
35,3786.4726009442106,1,0.56,1
36,3819.415543332539,1,0.56,3
37,3951.6864387784713,1,0.56,5
38,4077.3027706578437,1,0.56,10
39,4118.014399701937,1,0.56,14
40,4150.072312109817,1,0.56,20
41,4175.941509259137,1,0.56,30
42,3820.6310471548713,1,0.67,1
43,3778.0849462293504,1,0.67,3
44,3900.5153087665135,1,0.67,5
45,4035.2377211166336,1,0.67,10
46,4079.9309600515703,1,0.67,14
47,4115.45378782362,1,0.67,20
48,4144.323810903045,1,0.67,30
49,3844.5812857187593,1,0.78,1
50,3757.8416026101727,1,0.78,3
51,3853.864194065473,1,0.78,5
52,3995.6481489299117,1,0.78,10
53,4043.767687456434,1,0.78,14
54,4082.3625924950643,1,0.78,20
55,4113.94678500053,1,0.78,30
56,3874.188325407335,1,0.89,1
57,3751.920126835637,1,0.89,3
58,3816.0352523574293,1,0.89,5
59,3958.423056855451,1,0.89,10
60,4009.4504802802803,1,0.89,14
61,4050.746781420157,1,0.89,20
62,4084.772608458207,1,0.89,30
63,3911.170068027211,1,1.0,1
64,3753.7722908093283,1,1.0,3
65,3788.939989333333,1,1.0,5
66,3923.4519600544218,1,1.0,10
67,3976.905648940296,1,1.0,14
68,4020.5547436615648,1,1.0,20
69,4056.763725429561,1,1.0,30
70,3817.1821107862283,3,0.01,1
71,4153.163744638195,3,0.01,3
72,4213.749619960797,3,0.01,5
73,4257.135859260764,3,0.01,10
74,4268.5807245485385,3,0.01,14
75,4276.986640653063,3,0.01,20
76,4283.2991480413975,3,0.01,30
77,3739.543270422415,3,0.12,1
78,4068.2266521946344,3,0.12,3
79,4147.157418661814,3,0.12,5
80,4206.956650475877,3,0.12,10
81,4223.961872144076,3,0.12,14
82,4236.6593220110735,3,0.12,20
83,4246.492372280734,3,0.12,30
84,3686.849381354779,3,0.23,1
85,3991.032052844888,3,0.23,3
86,4086.8210832795276,3,0.23,5
87,4165.230312567931,3,0.23,10
88,4188.583710898053,3,0.23,14
89,4206.356213273277,3,0.23,20
90,4220.32558487563,3,0.23,30
91,3702.748892283666,3,0.34,1
92,3921.393154656564,3,0.34,3
93,4030.7089013028913,3,0.34,5
94,4125.4106806076725,3,0.34,10
95,4154.557079841369,3,0.34,14
96,4177.035404612112,3,0.34,20
97,4194.886524658629,3,0.34,30
98,3745.848764602153,3,0.45,1
99,3858.985116314282,3,0.45,3
100,3978.663043721003,3,0.45,5
101,4087.4449429115084,3,0.45,10
102,4121.849403242799,3,0.45,14
103,4148.676118361024,3,0.45,20
104,4170.161583403789,3,0.45,30
105,3786.051237641023,3,0.56,1
106,3805.9701907327403,3,0.56,3
107,3930.5075706487855,3,0.56,5
108,4051.278179479937,3,0.56,10
109,4090.427273885663,3,0.56,14
110,4121.257232833212,3,0.56,20
111,4146.137007471959,3,0.56,30
112,3820.3057345272423,3,0.67,1
113,3771.940235979336,3,0.67,3
114,3886.053167779479,3,0.67,5
115,4016.853793197642,3,0.67,10
116,4060.2566127357322,3,0.67,14
117,4094.757346932129,3,0.67,20
118,4122.798925827399,3,0.67,30
119,3844.7755728732886,3,0.78,1
120,3755.1767579234074,3,0.78,3
121,3845.1013678013687,3,0.78,5
122,3984.1139099723882,3,0.78,10
123,4031.302818728916,3,0.78,14
124,4069.1548412397183,3,0.78,20
125,4100.133376680779,3,0.78,30
126,3874.4114875409446,3,0.89,1
127,3750.7761877617813,3,0.89,3
128,3812.733133162513,3,0.89,5
129,3952.999748448045,3,0.89,10
130,4003.530908880299,3,0.89,14
131,4044.4279356550896,3,0.89,20
132,4078.126332787262,3,0.89,30
133,3911.170068027211,3,1.0,1
134,3753.7722908093283,3,1.0,3
135,3788.939989333333,3,1.0,5
136,3923.4519600544218,3,1.0,10
137,3976.905648940296,3,1.0,14
138,4020.5547436615648,3,1.0,20
139,4056.763725429561,3,1.0,30
140,3809.418598146406,5,0.01,1
141,4156.525493678093,5,0.01,3
142,4226.355484724327,5,0.01,5
143,4272.975660051818,5,0.01,10
144,4285.297118601411,5,0.01,14
145,4294.160370568702,5,0.01,20
146,4300.821981025766,5,0.01,30
147,3735.868940371539,5,0.12,1
148,4067.907708205349,5,0.12,3
149,4147.882788389632,5,0.12,5
150,4208.511246535042,5,0.12,10
151,4225.756901260324,5,0.12,14
152,4239.212778745373,5,0.12,20
153,4251.192289763179,5,0.12,30
154,3686.481572350403,5,0.23,1
155,3991.1769894667887,5,0.23,3
156,4087.6811697257567,5,0.23,5
157,4166.714500196004,5,0.23,10
158,4190.258831243185,5,0.23,14
159,4208.1778932135785,5,0.23,20
160,4222.263140882982,5,0.23,30
161,3702.1836736726905,5,0.34,1
162,3921.7742328321506,5,0.34,3
163,4031.592594620591,5,0.34,5
164,4126.770536139099,5,0.34,10
165,4156.069399182538,5,0.34,14
166,4178.666924512541,5,0.34,20
167,4196.6136348485825,5,0.34,30
168,3745.0835052017005,5,0.45,1
169,3859.4462650405635,5,0.45,3
170,3979.4883520848957,5,0.45,5
171,4088.6372311363084,5,0.45,10
172,4123.163363183338,5,0.45,14
173,4150.086569663399,5,0.45,20
174,4171.650271061043,5,0.45,30
175,3785.570029616339,5,0.56,1
176,3806.9019765523803,5,0.56,3
177,3931.216539328874,5,0.56,5
178,4052.2691402613223,5,0.56,10
179,4091.5139686695693,5,0.56,14
180,4122.420612145089,5,0.56,20
181,4147.363051198226,5,0.56,30
182,3820.0571769665767,5,0.67,1
183,3772.886550824263,5,0.67,3
184,3886.6074036695722,5,0.67,5
185,4017.6180171121523,5,0.67,10
186,4061.0931479430687,5,0.67,14
187,4095.65216874787,5,0.67,20
188,4123.7416149739265,5,0.67,30
189,3844.7543309520775,5,0.78,1
190,3755.7807558112086,5,0.78,3
191,3845.4781400524053,5,0.78,5
192,3984.6333006778286,5,0.78,10
193,4031.8717091394365,5,0.78,14
194,4069.763769520977,5,0.78,20
195,4100.775276310129,5,0.78,30
196,3874.3726119602325,5,0.89,1
197,3750.8831925337713,5,0.89,3
198,3813.039058844484,5,0.89,5
199,3953.2625690082273,5,0.89,10
200,4003.819514627129,5,0.89,14
201,4044.7374339886337,5,0.89,20
202,4078.453058079779,5,0.89,30
203,3911.170068027211,5,1.0,1
204,3753.7722908093283,5,1.0,3
205,3788.939989333333,5,1.0,5
206,3923.4519600544218,5,1.0,10
207,3976.905648940296,5,1.0,14
208,4020.5547436615648,5,1.0,20
209,4056.763725429561,5,1.0,30
210,3812.6481115928214,10,0.01,1
211,4229.830922973679,10,0.01,3
212,4308.593720048474,10,0.01,5
213,4361.0198447348175,10,0.01,10
214,4374.740706012665,10,0.01,14
215,4384.628938867768,10,0.01,20
216,4392.072356195619,10,0.01,30
217,3741.185388243172,10,0.12,1
218,4089.75083361765,10,0.12,3
219,4174.1761851975825,10,0.12,5
220,4251.6692243551115,10,0.12,10
221,4279.304069759982,10,0.12,14
222,4301.063615639894,10,0.12,20
223,4318.159997922304,10,0.12,30
224,3684.8021703955937,10,0.23,1
225,4008.7591439794332,10,0.23,3
226,4109.268405766029,10,0.23,5
227,4191.665799344391,10,0.23,10
228,4216.225398806984,10,0.23,14
229,4235.638334611957,10,0.23,20
230,4255.301355708553,10,0.23,30
231,3697.649317954233,10,0.34,1
232,3935.494922183334,10,0.34,3
233,4048.8831271672893,10,0.34,5
234,4147.220522001691,10,0.34,10
235,4177.502441550573,10,0.34,14
236,4200.861268871235,10,0.34,20
237,4219.414446777679,10,0.34,30
238,3740.413312927133,10,0.45,1
239,3869.7629456955956,10,0.45,3
240,3992.9019509556456,10,0.45,5
241,4104.908972384768,10,0.45,10
242,4140.34594481128,10,0.45,14
243,4167.981435964559,10,0.45,20
244,4190.116849928158,10,0.45,30
245,3782.6297121162056,10,0.56,1
246,3812.292097836767,10,0.56,3
247,3941.171700151365,10,0.56,5
248,4064.681419624986,10,0.56,10
249,4104.725416065065,10,0.56,14
250,4136.2621600337025,10,0.56,20
251,4161.713540908778,10,0.56,30
252,3818.6574509116085,10,0.67,1
253,3774.5106843826,10,0.67,3
254,3893.512107984264,10,0.67,5
255,4026.482925160398,10,0.67,10
256,4070.6076425473516,10,0.67,14
257,4105.682618176072,10,0.67,20
258,4134.191151898541,10,0.67,30
259,3843.8827244185372,10,0.78,1
260,3755.5843215958075,10,0.78,3
261,3849.722721670479,10,0.78,5
262,3990.25420446529,10,0.78,10
263,4037.957066566543,10,0.78,14
264,4076.2206248927437,10,0.78,20
265,4107.535473158443,10,0.78,30
266,3873.8845820551,10,0.89,1
267,3750.7883459597297,10,0.89,3
268,3814.5213206209582,10,0.89,5
269,3955.932427763084,10,0.89,10
270,4006.7361386998696,10,0.89,14
271,4047.852802683255,10,0.89,20
272,4081.731541612168,10,0.89,30
273,3911.170068027211,10,1.0,1
274,3753.7722908093283,10,1.0,3
275,3788.939989333333,10,1.0,5
276,3923.4519600544218,10,1.0,10
277,3976.905648940296,10,1.0,14
278,4020.5547436615648,10,1.0,20
279,4056.763725429561,10,1.0,30
280,3837.9212544307957,14,0.01,1
281,4328.409559422269,14,0.01,3
282,4414.537320069569,14,0.01,5
283,4472.095012582968,14,0.01,10
284,4487.207915327724,14,0.01,14
285,4498.116534272544,14,0.01,20
286,4506.338761583878,14,0.01,30
287,3752.0205905013677,14,0.12,1
288,4119.123423057032,14,0.12,3
289,4228.150854208716,14,0.12,5
290,4337.048376320365,14,0.12,10
291,4368.683828414895,14,0.12,14
292,4392.482871749765,14,0.12,20
293,4411.558732180291,14,0.12,30
294,3687.262097569449,14,0.23,1
295,4032.0033106214905,14,0.23,3
296,4137.125129776669,14,0.23,5
297,4226.188427674469,14,0.23,10
298,4265.163561655218,14,0.23,14
299,4298.17988226506,14,0.23,20
300,4325.091993589266,14,0.23,30
301,3694.297796120757,14,0.34,1
302,3953.3614609963147,14,0.34,3
303,4070.9892390983005,14,0.34,5
304,4173.048534658456,14,0.34,10
305,4204.484432867288,14,0.34,14
306,4228.735877520304,14,0.34,20
307,4252.993043596686,14,0.34,30
308,3736.4386659391266,14,0.45,1
309,3883.0145090774845,14,0.45,3
310,4009.8995282312203,14,0.45,5
311,4125.332463805682,14,0.45,10
312,4161.856471773294,14,0.45,14
313,4190.340691996974,14,0.45,20
314,4213.15655040725,14,0.45,30
315,3780.1883089770586,14,0.56,1
316,3820.5864698748846,14,0.56,3
317,3953.6792824226577,14,0.56,5
318,4080.1647249489215,14,0.56,10
319,4121.172404189633,14,0.56,14
320,4153.467716984017,14,0.56,20
321,4179.531057838544,14,0.56,30
322,3817.5173941233443,14,0.67,1
323,3777.14373706429,14,0.67,3
324,3902.115769208705,14,0.67,5
325,4037.4734990990787,14,0.67,10
326,4082.3863277379423,14,0.67,14
327,4118.086387247084,14,0.67,20
328,4147.102096775548,14,0.67,30
329,3843.1556827132254,14,0.78,1
330,3756.4170501867447,14,0.78,3
331,3854.9696418024682,14,0.78,5
332,3997.180552114168,14,0.78,10
333,4045.4486768975703,14,0.78,14
334,4084.163887871556,14,0.78,20
335,4115.847227124973,14,0.78,30
336,3873.4181834740257,14,0.89,1
337,3751.010877443506,14,0.89,3
338,3816.4636582140633,14,0.89,5
339,3959.202498179096,14,0.89,10
340,4010.3068256659767,14,0.89,14
341,4051.6654692704983,14,0.89,20
342,4085.7427199546973,14,0.89,30
343,3911.170068027211,14,1.0,1
344,3753.7722908093283,14,1.0,3
345,3788.939989333333,14,1.0,5
346,3923.4519600544218,14,1.0,10
347,3976.905648940296,14,1.0,14
348,4020.5547436615648,14,1.0,20
349,4056.763725429561,14,1.0,30
350,3946.325195119648,20,0.01,1
351,4494.406146420425,20,0.01,3
352,4590.951296608031,20,0.01,5
353,4655.890395069662,20,0.01,10
354,4673.018199009081,20,0.01,14
355,4685.405873961542,20,0.01,20
356,4694.758170930393,20,0.01,30
357,3773.2547561832366,20,0.12,1
358,4204.314816736144,20,0.12,3
359,4361.536804837617,20,0.12,5
360,4485.557844202326,20,0.12,10
361,4521.628612544546,20,0.12,14
362,4548.703021559764,20,0.12,20
363,4569.761187783953,20,0.12,30
364,3698.365254957924,20,0.23,1
365,4071.233895542232,20,0.23,3
366,4183.715809016977,20,0.23,5
367,4332.334910007602,20,0.23,10
368,4381.764875358045,20,0.23,14
369,4421.01813557658,20,0.23,20
370,4451.989058426797,20,0.23,30
371,3692.8758369726647,20,0.34,1
372,3983.2284863636773,20,0.34,3
373,4107.67735255703,20,0.34,5
374,4215.7105025019255,20,0.34,10
375,4264.542524694184,20,0.34,14
376,4308.834502370005,20,0.34,20
377,4345.373073226631,20,0.34,30
378,3732.660655736142,20,0.45,1
379,3904.959982840389,20,0.45,3
380,4037.893802660916,20,0.45,5
381,4158.838931802873,20,0.45,10
382,4197.109079050486,20,0.45,14
383,4226.955853720628,20,0.45,20
384,4257.074022355038,20,0.45,30
385,3777.6654855245692,20,0.56,1
386,3835.9667030425503,20,0.56,3
387,3974.1191960173023,20,0.56,5
388,4105.3909285223535,20,0.56,10
389,4147.94576967841,20,0.56,14
390,4181.458095328911,20,0.56,20
391,4208.502731770085,20,0.56,30
392,3816.244346550969,20,0.67,1
393,3783.9337528166216,20,0.67,3
394,3916.0656264780014,20,0.67,5
395,4055.2539673337565,20,0.67,10
396,4101.429452192694,20,0.67,14
397,4138.13031833214,20,0.67,20
398,4167.957652103667,20,0.67,30
399,3842.2528416918417,20,0.78,1
400,3758.739621298358,20,0.78,3
401,3863.4094980907043,20,0.78,5
402,4008.3058485259303,20,0.78,10
403,4057.4766878017335,20,0.78,14
404,4096.91281121101,20,0.78,20
405,4129.184093471206,20,0.78,30
406,3872.811264083846,20,0.89,1
407,3751.580587562632,20,0.89,3
408,3819.618500892215,20,0.89,5
409,3964.4168961780597,20,0.89,10
410,4015.9993439019845,20,0.89,14
411,4057.742737975201,20,0.89,20
412,4092.135555264973,20,0.89,30
413,3911.170068027211,20,1.0,1
414,3753.7722908093283,20,1.0,3
415,3788.939989333333,20,1.0,5
416,3923.4519600544218,20,1.0,10
417,3976.905648940296,20,1.0,14
418,4020.5547436615648,20,1.0,20
419,4056.763725429561,20,1.0,30
